fpr,tpr,threshold
0.02253147779986746,0.26171079429735233,0.7695000000000001
0.023194168323392977,0.26171079429735233,0.7693095238095238
0.023194168323392977,0.26272912423625255,0.768
0.02385685884691849,0.26272912423625255,0.7676666666666668
0.02385685884691849,0.2637474541751528,0.7675833333333333
0.024519549370444003,0.2637474541751528,0.7659999999999999
0.024519549370444003,0.26476578411405294,0.765904761904762
0.02485089463220676,0.26476578411405294,0.7652499999999999
0.02485089463220676,0.26578411405295316,0.7650476190476191
0.025513585155732273,0.26578411405295316,0.7643333333333332
0.025513585155732273,0.26782077393075354,0.7626666666666666
0.026176275679257788,0.26782077393075354,0.7598809523809522
0.026176275679257788,0.2708757637474542,0.7596666666666665
0.026507620941020542,0.2708757637474542,0.7593095238095238
0.026507620941020542,0.2739307535641548,0.7583492063492063
0.027501656726308814,0.2739307535641548,0.7578333333333331
0.027501656726308814,0.2759674134419552,0.7571666666666667
0.028164347249834326,0.2759674134419552,0.7567619047619049
0.028164347249834326,0.2769857433808554,0.7562857142857142
0.028495692511597084,0.2769857433808554,0.7562380952380952
0.028495692511597084,0.2820773930753564,0.7548333333333335
0.0291583830351226,0.2820773930753564,0.7545000000000001
0.0291583830351226,0.28411405295315684,0.7533333333333334
0.029489728296885353,0.28411405295315684,0.7531666666666667
0.029489728296885353,0.2861507128309572,0.7529166666666669
0.030152418820410868,0.2861507128309572,0.750975468975469
0.030152418820410868,0.28716904276985744,0.7507261904761906
0.030483764082173626,0.28716904276985744,0.7503333333333333
0.030483764082173626,0.29124236252545826,0.7474166666666666
0.030815109343936383,0.29124236252545826,0.7469999999999999
0.030815109343936383,0.29429735234215887,0.7454999999999999
0.031146454605699137,0.29429735234215887,0.7453333333333333
0.031146454605699137,0.2953156822810591,0.7452777777777778
0.03214049039098741,0.2953156822810591,0.7438809523809523
0.03214049039098741,0.29938900203665986,0.7424880952380951
0.032471835652750164,0.29938900203665986,0.7422619047619048
0.032471835652750164,0.3014256619144603,0.74025
0.032803180914512925,0.3014256619144603,0.7399166666666668
0.032803180914512925,0.3024439918533605,0.7396428571428569
0.03313452617627568,0.3024439918533605,0.7393290043290043
0.03313452617627568,0.3034623217922607,0.73925
0.033797216699801194,0.3034623217922607,0.7388333333333332
0.033797216699801194,0.3054989816700611,0.7385595238095238
0.03412856196156395,0.3054989816700611,0.7373333333333332
0.03412856196156395,0.3095723014256619,0.7346666666666666
0.03445990722332671,0.3095723014256619,0.7345
0.03445990722332671,0.3136456211812627,0.7335714285714284
0.03479125248508946,0.3136456211812627,0.7330714285714286
0.03479125248508946,0.31466395112016293,0.7330555555555556
0.03512259774685222,0.31466395112016293,0.7330357142857143
0.03512259774685222,0.3167006109979633,0.733
0.03512259774685222,0.319755600814664,0.7320627705627705
0.03545394300861498,0.319755600814664,0.7320353535353534
0.03545394300861498,0.32077393075356414,0.7314047619047619
0.03578528827037773,0.32077393075356414,0.7308333333333333
0.03578528827037773,0.3228105906313646,0.7302500000000001
0.036116633532140494,0.3228105906313646,0.7290714285714283
0.036116633532140494,0.32382892057026474,0.728888888888889
0.03644797879390325,0.32382892057026474,0.7288809523809523
0.03644797879390325,0.32790224032586557,0.7278095238095239
0.036779324055666,0.32790224032586557,0.7273333333333334
0.036779324055666,0.3319755600814664,0.7269166666666667
0.03711066931742876,0.3319755600814664,0.7268571428571429
0.03711066931742876,0.3329938900203666,0.7265714285714284
0.03744201457919152,0.3329938900203666,0.7265476190476191
0.03744201457919152,0.3340122199592668,0.7263333333333334
0.03777335984095427,0.3340122199592668,0.7260595238095238
0.03777335984095427,0.34623217922606925,0.7205714285714283
0.03810470510271703,0.34623217922606925,0.7199999999999999
0.03810470510271703,0.34725050916496947,0.7193333333333334
0.038436050364479786,0.34725050916496947,0.7191547619047618
0.038436050364479786,0.3513238289205703,0.7174047619047619
0.03876739562624255,0.3513238289205703,0.7172575757575756
0.03876739562624255,0.35234215885947046,0.7160000000000001
0.03876739562624255,0.3543788187372709,0.7156666666666667
0.0390987408880053,0.3543788187372709,0.7153333333333332
0.0390987408880053,0.3564154786150713,0.7148333333333332
0.039430086149768055,0.3564154786150713,0.714357142857143
0.039430086149768055,0.35845213849287166,0.7136666666666666
0.04009277667329357,0.35845213849287166,0.7131666666666667
0.04009277667329357,0.3604887983706721,0.7116150793650793
0.0414181577203446,0.3604887983706721,0.711
0.0414181577203446,0.3645621181262729,0.7094047619047621
0.042080848243870116,0.3645621181262729,0.7083333333333335
0.042080848243870116,0.3665987780040733,0.708
0.04241219350563287,0.3665987780040733,0.707642857142857
0.04241219350563287,0.37169042769857435,0.705
0.042743538767395624,0.37169042769857435,0.7043095238095239
0.042743538767395624,0.37372708757637474,0.7037261904761906
0.04340622929092114,0.37372708757637474,0.7029999999999998
0.04340622929092114,0.37474541751527496,0.7023333333333333
0.044068919814446654,0.37474541751527496,0.701142857142857
0.044068919814446654,0.3757637474541752,0.7001666666666666
0.04473161033797217,0.3757637474541752,0.6998333333333335
0.04473161033797217,0.37780040733197556,0.6996309523809522
0.04539430086149768,0.37780040733197556,0.6988809523809523
0.04539430086149768,0.38085539714867617,0.6972380952380953
0.04572564612326044,0.38085539714867617,0.6971428571428572
0.04572564612326044,0.38289205702647655,0.6969642857142857
0.04605699138502319,0.38289205702647655,0.6967619047619047
0.04605699138502319,0.3859470468431772,0.6961944444444444
0.04638833664678595,0.3859470468431772,0.6951904761904762
0.04638833664678595,0.3890020366598778,0.6948333333333335
0.04671968190854871,0.3890020366598778,0.694595238095238
0.04671968190854871,0.390020366598778,0.6945000000000001
0.04804506295559974,0.390020366598778,0.6927222222222222
0.04804506295559974,0.3910386965376782,0.6925714285714284
0.048707753479125246,0.3910386965376782,0.6916666666666665
0.048707753479125246,0.3920570264765784,0.6911666666666665
0.04903909874088801,0.3920570264765784,0.6910714285714286
0.04903909874088801,0.39307535641547864,0.6908214285714284
