precision,recall,threshold
0.5535714285714286,0.8857142857142857,0.26967820614887794
0.5548098434004475,0.8857142857142857,0.27018260362456353
0.5538116591928252,0.8821428571428571,0.27055783464461025
0.5550561797752809,0.8821428571428571,0.27270416156670746
0.5540540540540541,0.8785714285714286,0.2738292778253092
0.5553047404063205,0.8785714285714286,0.2739800696805128
0.5565610859728507,0.8785714285714286,0.27637927782530913
0.5578231292517006,0.8785714285714286,0.27669728981685937
0.5568181818181818,0.875,0.2769871839797415
0.5580865603644647,0.875,0.27757213542129766
0.5593607305936074,0.875,0.2800890700468724
0.5606407322654462,0.875,0.28103293527109646
0.5619266055045872,0.875,0.28566073720450097
0.5609195402298851,0.8714285714285714,0.28572164506290504
0.5622119815668203,0.8714285714285714,0.28820070107512097
0.5635103926096998,0.8714285714285714,0.28857081463398726
0.5648148148148148,0.8714285714285714,0.28886565559155036
0.5638051044083526,0.8678571428571429,0.2889566389531037
0.5651162790697675,0.8678571428571429,0.288970587735785
0.5664335664335665,0.8678571428571429,0.2892773695709552
0.5677570093457944,0.8678571428571429,0.28985576480913816
0.5667447306791569,0.8642857142857143,0.29026202967828973
0.568075117370892,0.8642857142857143,0.29040903487677516
0.5670588235294117,0.8607142857142858,0.2913561284460413
0.5683962264150944,0.8607142857142858,0.29411780976751833
0.5697399527186762,0.8607142857142858,0.29449977238800945
0.5687203791469194,0.8571428571428571,0.2950048576291401
0.5700712589073634,0.8571428571428571,0.2957116995972086
0.5714285714285714,0.8571428571428571,0.2958725691466895
0.5727923627684964,0.8571428571428571,0.2965249121752297
0.5741626794258373,0.8571428571428571,0.2978571569800927
0.5731414868105515,0.8535714285714285,0.2978834942930855
0.5745192307692307,0.8535714285714285,0.29893464908483264
0.5734939759036145,0.85,0.29951625171510715
0.5748792270531401,0.85,0.30274906055214956
0.576271186440678,0.85,0.3040096885411659
0.5776699029126213,0.85,0.3046331554999734
0.5790754257907542,0.85,0.3047104651162791
0.5804878048780487,0.85,0.3056510716081923
0.5819070904645477,0.85,0.30619121271837046
0.5833333333333334,0.85,0.3087443770823319
0.5847665847665847,0.85,0.3103535783572525
0.583743842364532,0.8464285714285714,0.31106279305150175
0.582716049382716,0.8428571428571429,0.3113335186311901
0.5816831683168316,0.8392857142857143,0.31748741971402017
0.5831265508684863,0.8392857142857143,0.3180238610571289
0.5845771144278606,0.8392857142857143,0.3204334192829829
