object_key,designation,actual_label,predicted_label,predicted_probability,model_name,feature_set,model_family,correct,confidence_bucket,risk_score_0_100,risk_category,notes,graph_model_name,node_embedding_dimension,neighbor_context_used,prediction_mode,training_strategy,leakage_risk,evidence_role
20085938,85938,1,0,0.4273967192764736,logistic_regression,orbital_only,tabular,False,low,34.636698,moderate,Defensible secondary evidence view.,,,,full,full_labeled_dataset_after_holdout_evaluation,low,secondary_evidence
20138095,138095,1,0,0.066897415717897,logistic_regression,orbital_only,tabular,False,high,35.821124,moderate,Defensible secondary evidence view.,,,,full,full_labeled_dataset_after_holdout_evaluation,low,secondary_evidence
20162510,162510,1,0,0.32266708590982196,logistic_regression,orbital_only,tabular,False,medium,27.707539,moderate,Defensible secondary evidence view.,,,,full,full_labeled_dataset_after_holdout_evaluation,low,secondary_evidence
20164121,164121,1,0,0.321045767881225,logistic_regression,orbital_only,tabular,False,medium,34.41554,moderate,Defensible secondary evidence view.,,,,full,full_labeled_dataset_after_holdout_evaluation,low,secondary_evidence
20173561,173561,1,0,0.32546849841405595,logistic_regression,orbital_only,tabular,False,medium,36.317882,moderate,Defensible secondary evidence view.,,,,full,full_labeled_dataset_after_holdout_evaluation,low,secondary_evidence
20212546,212546,1,0,0.3710206044398124,logistic_regression,orbital_only,tabular,False,low,37.053413,moderate,Defensible secondary evidence view.,,,,full,full_labeled_dataset_after_holdout_evaluation,low,secondary_evidence
20007482,7482,1,0,0.38627989683062075,logistic_regression,orbital_only,tabular,False,low,32.122062,moderate,Defensible secondary evidence view.,,,,full,full_labeled_dataset_after_holdout_evaluation,low,secondary_evidence
20008566,8566,1,0,0.3105390991710974,logistic_regression,orbital_only,tabular,False,medium,29.379965,moderate,Defensible secondary evidence view.,,,,full,full_labeled_dataset_after_holdout_evaluation,low,secondary_evidence
20053789,53789,1,0,0.2341888044276506,logistic_regression,orbital_only,tabular,False,medium,23.773546,moderate,Defensible secondary evidence view.,,,,full,full_labeled_dataset_after_holdout_evaluation,low,secondary_evidence
20066391,66391,1,0,0.17364984133105277,logistic_regression,orbital_only,tabular,False,medium,32.497319,moderate,Defensible secondary evidence view.,,,,full,full_labeled_dataset_after_holdout_evaluation,low,secondary_evidence
20089959,89959,1,0,0.1920783887014036,logistic_regression,orbital_only,tabular,False,medium,34.295948,moderate,Defensible secondary evidence view.,,,,full,full_labeled_dataset_after_holdout_evaluation,low,secondary_evidence
20141525,141525,1,0,0.43686344741318756,logistic_regression,orbital_only,tabular,False,low,37.216719,moderate,Defensible secondary evidence view.,,,,full,full_labeled_dataset_after_holdout_evaluation,low,secondary_evidence
20144332,144332,1,0,0.11981744233847261,logistic_regression,orbital_only,tabular,False,high,40.792028,elevated,Defensible secondary evidence view.,,,,full,full_labeled_dataset_after_holdout_evaluation,low,secondary_evidence
20163051,163051,1,0,0.35955508477319614,logistic_regression,orbital_only,tabular,False,low,35.910439,moderate,Defensible secondary evidence view.,,,,full,full_labeled_dataset_after_holdout_evaluation,low,secondary_evidence
20214869,214869,1,0,0.32047667396903057,logistic_regression,orbital_only,tabular,False,medium,35.884606,moderate,Defensible secondary evidence view.,,,,full,full_labeled_dataset_after_holdout_evaluation,low,secondary_evidence
20002135,2135,1,0,0.44132897526798237,logistic_regression,orbital_only,tabular,False,low,41.201997,elevated,Defensible secondary evidence view.,,,,full,full_labeled_dataset_after_holdout_evaluation,low,secondary_evidence
20003671,3671,1,0,0.29899227395875055,logistic_regression,orbital_only,tabular,False,medium,29.291898,moderate,Defensible secondary evidence view.,,,,full,full_labeled_dataset_after_holdout_evaluation,low,secondary_evidence
20004179,4179,1,0,0.414197452758002,logistic_regression,orbital_only,tabular,False,low,37.254117,moderate,Defensible secondary evidence view.,,,,full,full_labeled_dataset_after_holdout_evaluation,low,secondary_evidence
20031669,31669,1,0,0.4966463084414922,logistic_regression,orbital_only,tabular,False,low,42.117954,elevated,Defensible secondary evidence view.,,,,full,full_labeled_dataset_after_holdout_evaluation,low,secondary_evidence
20068548,68548,1,0,0.46670305764083575,logistic_regression,orbital_only,tabular,False,low,26.887881,moderate,Defensible secondary evidence view.,,,,full,full_labeled_dataset_after_holdout_evaluation,low,secondary_evidence
20138127,138127,1,0,0.337502745163089,logistic_regression,orbital_only,tabular,False,medium,27.576315,moderate,Defensible secondary evidence view.,,,,full,full_labeled_dataset_after_holdout_evaluation,low,secondary_evidence
20139622,139622,1,0,0.48949413780373807,logistic_regression,orbital_only,tabular,False,low,36.249808,moderate,Defensible secondary evidence view.,,,,full,full_labeled_dataset_after_holdout_evaluation,low,secondary_evidence
20152978,152978,1,0,0.45177436784306285,logistic_regression,orbital_only,tabular,False,low,22.958338,moderate,Defensible secondary evidence view.,,,,full,full_labeled_dataset_after_holdout_evaluation,low,secondary_evidence
20162979,162979,1,0,0.375924596077752,logistic_regression,orbital_only,tabular,False,low,37.133899,moderate,Defensible secondary evidence view.,,,,full,full_labeled_dataset_after_holdout_evaluation,low,secondary_evidence
20171839,171839,1,0,0.4344854333398995,logistic_regression,orbital_only,tabular,False,low,32.020769,moderate,Defensible secondary evidence view.,,,,full,full_labeled_dataset_after_holdout_evaluation,low,secondary_evidence
20039572,39572,1,0,0.37509879166486093,logistic_regression,orbital_only,tabular,False,low,27.544049,moderate,Defensible secondary evidence view.,,,,full,full_labeled_dataset_after_holdout_evaluation,low,secondary_evidence
20052768,52768,1,0,0.3354213016855496,logistic_regression,orbital_only,tabular,False,medium,31.657988,moderate,Defensible secondary evidence view.,,,,full,full_labeled_dataset_after_holdout_evaluation,low,secondary_evidence
20065803,65803,1,0,0.4799599799655892,logistic_regression,orbital_only,tabular,False,low,22.87975,moderate,Defensible secondary evidence view.,,,,full,full_labeled_dataset_after_holdout_evaluation,low,secondary_evidence
20103067,103067,1,0,0.29111743509330945,logistic_regression,orbital_only,tabular,False,medium,27.202281,moderate,Defensible secondary evidence view.,,,,full,full_labeled_dataset_after_holdout_evaluation,low,secondary_evidence
20111253,111253,1,0,0.2453490032558457,logistic_regression,orbital_only,tabular,False,medium,31.722895,moderate,Defensible secondary evidence view.,,,,full,full_labeled_dataset_after_holdout_evaluation,low,secondary_evidence
20138524,138524,1,0,0.3977278443217728,logistic_regression,orbital_only,tabular,False,low,35.52851,moderate,Defensible secondary evidence view.,,,,full,full_labeled_dataset_after_holdout_evaluation,low,secondary_evidence
20139211,139211,1,0,0.3190651972618569,logistic_regression,orbital_only,tabular,False,medium,36.79836,moderate,Defensible secondary evidence view.,,,,full,full_labeled_dataset_after_holdout_evaluation,low,secondary_evidence
20143651,143651,1,0,0.3213522203480549,logistic_regression,orbital_only,tabular,False,medium,41.474913,elevated,Defensible secondary evidence view.,,,,full,full_labeled_dataset_after_holdout_evaluation,low,secondary_evidence
20153591,153591,1,0,0.4943228693326919,logistic_regression,orbital_only,tabular,False,low,25.683474,moderate,Defensible secondary evidence view.,,,,full,full_labeled_dataset_after_holdout_evaluation,low,secondary_evidence
20154302,154302,1,0,0.3966866363326975,logistic_regression,orbital_only,tabular,False,low,35.513082,moderate,Defensible secondary evidence view.,,,,full,full_labeled_dataset_after_holdout_evaluation,low,secondary_evidence
20159857,159857,1,0,0.3213774969121305,logistic_regression,orbital_only,tabular,False,medium,33.586644,moderate,Defensible secondary evidence view.,,,,full,full_labeled_dataset_after_holdout_evaluation,low,secondary_evidence
20163132,163132,1,0,0.263794855152285,logistic_regression,orbital_only,tabular,False,medium,29.632965,moderate,Defensible secondary evidence view.,,,,full,full_labeled_dataset_after_holdout_evaluation,low,secondary_evidence
