object_key,designation,actual_label,predicted_label,predicted_probability,model_name,feature_set,model_family,correct,confidence_bucket,risk_score_0_100,risk_category,notes,graph_model_name,node_embedding_dimension,neighbor_context_used,prediction_mode,training_strategy,leakage_risk,evidence_role
20163081,163081,0,1,0.7609120372022957,logistic_regression,orbital_only,tabular,False,medium,30.222567,moderate,Defensible secondary evidence view.,,,,full,full_labeled_dataset_after_holdout_evaluation,low,secondary_evidence
20163679,163679,0,1,0.5964318664533805,logistic_regression,orbital_only,tabular,False,low,31.220008,moderate,Defensible secondary evidence view.,,,,full,full_labeled_dataset_after_holdout_evaluation,low,secondary_evidence
20164222,164222,0,1,0.5237174756802688,logistic_regression,orbital_only,tabular,False,low,28.392442,moderate,Defensible secondary evidence view.,,,,full,full_labeled_dataset_after_holdout_evaluation,low,secondary_evidence
20170502,170502,0,1,0.8569377254764889,logistic_regression,orbital_only,tabular,False,high,34.686988,moderate,Defensible secondary evidence view.,,,,full,full_labeled_dataset_after_holdout_evaluation,low,secondary_evidence
20171486,171486,0,1,0.6607278165293331,logistic_regression,orbital_only,tabular,False,medium,32.194838,moderate,Defensible secondary evidence view.,,,,full,full_labeled_dataset_after_holdout_evaluation,low,secondary_evidence
20186822,186822,0,1,0.5898317329623958,logistic_regression,orbital_only,tabular,False,low,31.802757,moderate,Defensible secondary evidence view.,,,,full,full_labeled_dataset_after_holdout_evaluation,low,secondary_evidence
20189008,189008,0,1,0.8181789033141229,logistic_regression,orbital_only,tabular,False,medium,34.348401,moderate,Defensible secondary evidence view.,,,,full,full_labeled_dataset_after_holdout_evaluation,low,secondary_evidence
20204232,204232,0,1,0.6896050892613641,logistic_regression,orbital_only,tabular,False,medium,29.39555,moderate,Defensible secondary evidence view.,,,,full,full_labeled_dataset_after_holdout_evaluation,low,secondary_evidence
20205388,205388,0,1,0.5413824381787318,logistic_regression,orbital_only,tabular,False,low,26.761796,moderate,Defensible secondary evidence view.,,,,full,full_labeled_dataset_after_holdout_evaluation,low,secondary_evidence
20225312,225312,0,1,0.7495789254354852,logistic_regression,orbital_only,tabular,False,medium,25.583844,moderate,Defensible secondary evidence view.,,,,full,full_labeled_dataset_after_holdout_evaluation,low,secondary_evidence
20235700,235700,0,1,0.5879548773532237,logistic_regression,orbital_only,tabular,False,low,33.719568,moderate,Defensible secondary evidence view.,,,,full,full_labeled_dataset_after_holdout_evaluation,low,secondary_evidence
20238063,238063,0,1,0.5682875409341784,logistic_regression,orbital_only,tabular,False,low,22.309998,moderate,Defensible secondary evidence view.,,,,full,full_labeled_dataset_after_holdout_evaluation,low,secondary_evidence
